,summary,duration,start
320,Social - Sella,0 days 03:00:00.000000000,2020-01-16T03:00:00+00:00
321,Learn - Power and Politics,0 days 01:00:00.000000000,2020-09-30T04:00:00+00:00
322,ML - Interview,0 days 02:00:00.000000000,2020-02-26T04:30:00+00:00
323,Code - Problem Solving,0 days 01:00:00.000000000,2020-12-13T18:00:00+00:00
324,Startup - YC - Group session,0 days 00:30:00.000000000,2020-01-24T03:00:00+00:00
325,Course - Learn how to learn,0 days 01:00:00.000000000,2020-05-15T05:30:00+00:00
326,Social - Ofir,0 days 04:00:00.000000000,2020-01-04T18:00:00+00:00
327, Social - Jonathan - Fundemica,2 days 00:00:00.000000000,2020-10-17T00:00:00+00:00
328,Cleanup - mail,0 days 01:00:00.000000000,2020-01-15T05:00:00+00:00
329,Cleanup - email,0 days 01:00:00.000000000,2020-04-05T20:30:00+00:00
330,Analyze - Pallacies,0 days 04:00:00.000000000,2020-03-28T22:00:00+00:00
331,Code - Problem Solving,0 days 01:00:00.000000000,2020-12-06T18:00:00+00:00
332,Plan - Week,0 days 01:00:00.000000000,2020-12-01T05:00:00+00:00
333,Flight  UA955 TLV to SFO,0 days 15:05:00.000000000,2020-08-08T21:55:00+00:00
334,Real Estate - LLC,0 days 02:00:00.000000000,2020-07-13T07:00:00+00:00
335,"Social - Liran, Itay, Michal",0 days 02:45:00.000000000,2020-01-05T19:15:00+00:00
336,Code - Problem Solving - Leetcode,0 days 01:00:00.000000000,2020-02-24T06:00:00+00:00
337,Code - Text2Vid,0 days 02:00:00.000000000,2020-06-06T17:00:00+00:00
338,Social - Mati - App,0 days 02:00:00.000000000,2020-04-27T02:00:00+00:00
339,Learn - Power and Politics,0 days 02:00:00.000000000,2020-09-24T04:00:00+00:00
340,Shiran,0 days 01:00:00.000000000,2020-02-23T18:00:00+00:00
341,Shiran - Brunch,0 days 04:00:00.000000000,2020-02-23T22:00:00+00:00
342,Social - Jason,0 days 02:00:00.000000000,2020-10-31T03:00:00+00:00
343,Social - Mati,0 days 05:00:00.000000000,2020-03-14T19:00:00+00:00
344,IRA,0 days 01:00:00.000000000,2020-10-06T05:00:00+00:00
345,ברכה לדניאל ויונית,0 days 01:00:00.000000000,2020-01-03T07:00:00+00:00
346,Code - Problem Solving,0 days 03:30:00.000000000,2020-06-14T17:00:00+00:00
347,Learn - Power and Politics,0 days 02:00:00.000000000,2020-10-15T03:00:00+00:00
348,Read - Crystal Society,0 days 01:00:00.000000000,2020-11-12T04:00:00+00:00
349,Read - Crystal Society,0 days 01:00:00.000000000,2020-11-13T04:00:00+00:00
350,Social - Mati - Beach,0 days 05:00:00.000000000,2020-04-25T21:00:00+00:00
351,Learn - Power and Politics,0 days 02:00:00.000000000,2020-09-25T04:00:00+00:00
352,Code - Problem Solving,0 days 01:00:00.000000000,2020-10-05T03:00:00+00:00
353,ML - Interview,0 days 02:00:00.000000000,2020-01-20T23:00:00+00:00
354,Cleanup - email,0 days 01:00:00.000000000,2020-12-13T19:00:00+00:00
355,Social - Mati - Movie night,0 days 05:00:00.000000000,2020-03-20T00:00:00+00:00
356,Code - Text2Vid,0 days 02:00:00.000000000,2020-06-18T04:00:00+00:00
357,Social - Sella - Podcast,0 days 01:00:00.000000000,2020-04-10T04:00:00+00:00
358,Cheeps - Elastic Beans,0 days 03:00:00.000000000,2020-04-29T03:00:00+00:00
359,Keystone/Jordan NLP Conversation,0 days 00:45:00.000000000,2020-07-08T22:00:00+00:00
360,Social - Ralph,0 days 04:00:00.000000000,2020-02-16T04:00:00+00:00
361,Plan - Week,0 days 01:00:00.000000000,2020-07-12T09:00:00+00:00
362,Problem solving - HRT,0 days 01:30:00.000000000,2020-02-14T05:30:00+00:00
363,Analyze - Haplogroups,0 days 01:00:00.000000000,2020-01-26T17:00:00+00:00
364,Code - Problem Solving,0 days 01:00:00.000000000,2020-05-17T16:00:00+00:00
365,Analyze - Poker,0 days 03:00:00.000000000,2020-12-14T05:00:00+00:00
366,Real Estate - New lease + Paint,0 days 02:00:00.000000000,2020-11-10T04:00:00+00:00
367,Code - Interview - C++,0 days 02:00:00.000000000,2020-05-05T04:00:00+00:00
368,Day off,1 days 00:00:00.000000000,2020-04-04T00:00:00+00:00
369,"Social - Sella, Mati, Gal - Duboce Park",0 days 05:00:00.000000000,2020-04-26T21:00:00+00:00
