word,count,freq,log_freq,tfidf,tfiedf
horny,6,3.8e-06,-12.480509491231935,-0.48074960435030667,1578947.3684210526
generalization,3,1.91e-06,-13.168407315905736,-0.2278179834531992,1570680.6282722515
flush,8,5.37e-06,-12.134682649443501,-0.6592673439520795,1489757.9143389198
annex,5,3.47e-06,-12.571355964005507,-0.3977295698503864,1440922.190201729
templates,3,2.09e-06,-13.078346491987555,-0.22938679609367663,1435406.6985645934
conditioner,3,2.09e-06,-13.078346491987555,-0.22938679609367663,1435406.6985645934
10g,5,3.55e-06,-12.54856295447695,-0.39845199949498206,1408450.7042253523
tasks,26,1.86e-05,-10.892348977245119,-2.386996602322954,1397849.4623655912
predict,16,1.15e-05,-11.37316352259507,-1.4068205357474015,1391304.347826087
3g,4,2.88e-06,-12.75772026381642,-0.3135356409518432,1388888.888888889
f,160,0.000117,-9.053336623166517,-17.673042178789327,1367521.3675213675
hebrew,12,9.12e-06,-11.605040753878034,-1.034033421725812,1315789.4736842103
relocation,4,3.09e-06,-12.68733946705462,-0.3152749250847155,1294498.3818770226
2a,4,3.09e-06,-12.68733946705462,-0.3152749250847155,1294498.3818770226
a11,9,7.24e-06,-11.83588935156665,-0.7603991328973282,1243093.9226519337
exponentially,2,1.62e-06,-13.333084408719982,-0.15000280045418285,1234567.9012345679
instinctively,2,1.62e-06,-13.333084408719982,-0.15000280045418285,1234567.9012345679
verbs,3,2.45e-06,-12.919422533407639,-0.23220852110397827,1224489.7959183673
emails,11,9.12e-06,-11.605040753878034,-0.9478639699153276,1206140.3508771928
"7,6,4",2,1.66e-06,-13.308692955595822,-0.1502777174793166,1204819.2771084337
shelton,2,1.66e-06,-13.308692955595822,-0.1502777174793166,1204819.2771084337
syllables,2,1.66e-06,-13.308692955595822,-0.1502777174793166,1204819.2771084337
_,30,2.51e-05,-10.592642711826535,-2.8321544317269782,1195219.123505976
derivative,5,4.27e-06,-12.363896730723742,-0.4044032483363614,1170960.18735363
induction,5,4.37e-06,-12.340747548856775,-0.4051618413070277,1144164.7597254005
anesthesia,2,1.78e-06,-13.23889719366028,-0.15106998496504237,1123595.5056179776
agendas,2,1.78e-06,-13.23889719366028,-0.15106998496504237,1123595.5056179776
contradict,3,2.69e-06,-12.825969364350525,-0.2339004495315908,1115241.6356877324
entropy,2,1.82e-06,-13.21667405687557,-0.15132400113624359,1098901.0989010988
millionaire,5,4.57e-06,-12.29599735305816,-0.406636392025283,1094091.9037199125
autobiography,5,4.57e-06,-12.29599735305816,-0.406636392025283,1094091.9037199125
blender,2,1.86e-06,-13.194934070239164,-0.151573322712612,1075268.817204301
hierarchical,2,1.86e-06,-13.194934070239164,-0.151573322712612,1075268.817204301
multiply,4,3.72e-06,-12.501786889679218,-0.31995426216248957,1075268.817204301
4g,3,2.82e-06,-12.778773673014252,-0.23476431125275274,1063829.7872340425
probability,12,1.15e-05,-11.37316352259507,-1.055115401810551,1043478.2608695652
simulate,3,2.88e-06,-12.75772026381642,-0.23515173071388243,1041666.6666666666
gdp,11,1.07e-05,-11.445266816496414,-0.9610959863465448,1028037.3831775702
stripper,3,3.02e-06,-12.710253726577497,-0.23602990660421796,993377.4834437086
calories,9,9.12e-06,-11.605040753878034,-0.7755250662943589,986842.1052631579
dopamine,2,2.04e-06,-13.102560750108148,-0.15264191772463195,980392.1568627452
retire,10,1.02e-05,-11.493122837674049,-0.870085540826237,980392.1568627451
api,5,5.13e-06,-12.180404898781596,-0.4104953851328989,974658.8693957115
analyze,7,7.24e-06,-11.83588935156665,-0.591421547809033,966850.8287292818
sucker,4,4.17e-06,-12.387594522153565,-0.3229036914993086,959232.6139088729
meantime,11,1.15e-05,-11.37316352259507,-0.9671891183263386,956521.7391304348
paradox,4,4.37e-06,-12.340747548856775,-0.3241294730456222,915331.8077803204
mutation,4,4.37e-06,-12.340747548856775,-0.3241294730456222,915331.8077803204
maximize,4,4.37e-06,-12.340747548856775,-0.3241294730456222,915331.8077803204
invest,17,1.86e-05,-10.892348977245119,-1.5607285476727006,913978.4946236558
computation,2,2.19e-06,-13.031609014135865,-0.15347299000687686,913242.0091324201
squared,2,2.19e-06,-13.031609014135865,-0.15347299000687686,913242.0091324201
hierarchy,6,6.61e-06,-11.926926904100679,-0.5030633664684487,907715.582450832
vat,3,3.31e-06,-12.618562368575303,-0.23774499125756707,906344.4108761329
calorie,3,3.31e-06,-12.618562368575303,-0.23774499125756707,906344.4108761329
x,131,0.000145,-8.8387768155437,-14.821055303673464,903448.275862069
concepts,16,1.78e-05,-10.936312100666235,-1.4630160380138828,898876.4044943821
std,2,2.24e-06,-13.009034692097325,-0.15373930866791768,892857.1428571428
noun,3,3.39e-06,-12.594680636571915,-0.2381957976202051,884955.7522123894
vector,7,7.94e-06,-11.74359728270523,-0.5960694863326832,881612.0906801007
3a,2,2.29e-06,-12.986958740398126,-0.15400064325904592,873362.4454148471
overflow,2,2.29e-06,-12.986958740398126,-0.15400064325904592,873362.4454148471
particle,7,8.13e-06,-11.719949634404555,-0.5972721912943308,861008.6100861009
connects,5,5.89e-06,-12.042254560300778,-0.41520464253291084,848896.4346349745
13g,3,3.55e-06,-12.54856295447695,-0.23907119969698923,845070.4225352113
simulation,7,8.32e-06,-11.696848303131157,-0.5984518067252487,841346.1538461539
objectively,2,2.4e-06,-12.940041820610373,-0.15455900589242927,833333.3333333334
tags,6,7.24e-06,-11.83588935156665,-0.5069327552648855,828729.2817679557
addictive,3,3.63e-06,-12.526277909687515,-0.23949652256077392,826446.2809917355
stride,2,2.45e-06,-12.919422533407639,-0.1548056807359855,816326.530612245
minimize,5,6.17e-06,-11.995811720046978,-0.41681214382884785,810372.7714748784
vectors,2,2.51e-06,-12.895227804820582,-0.15509613558376584,796812.749003984
genes,10,1.26e-05,-11.281813744006842,-0.886382298707265,793650.7936507937
prediction,6,7.59e-06,-11.788678966556736,-0.5089628801514894,790513.8339920948
refrigerator,3,3.89e-06,-12.457101400333919,-0.24082648953307736,771208.2262210797
dictate,3,3.89e-06,-12.457101400333919,-0.24082648953307736,771208.2262210797
dimensional,7,9.12e-06,-11.605040753878034,-0.6031861626733903,767543.8596491227
128g,2,2.63e-06,-12.848526711774602,-0.1556598701831835,760456.2737642586
112g,2,2.63e-06,-12.848526711774602,-0.1556598701831835,760456.2737642586
123g,2,2.63e-06,-12.848526711774602,-0.1556598701831835,760456.2737642586
100g,2,2.63e-06,-12.848526711774602,-0.1556598701831835,760456.2737642586
330g,2,2.63e-06,-12.848526711774602,-0.1556598701831835,760456.2737642586
simulator,3,3.98e-06,-12.434228738667928,-0.24126948788312128,753768.8442211056
adrenaline,2,2.69e-06,-12.825969364350525,-0.15593363302106053,743494.4237918216
lasers,2,2.75e-06,-12.803909646285794,-0.15620228939839229,727272.7272727273
hamas,6,8.32e-06,-11.696848303131157,-0.5129586914787846,721153.8461538461
invention,8,1.12e-05,-11.399596779663225,-0.7017792080393515,714285.7142857143
versa,4,5.62e-06,-12.089178894058675,-0.33087441546305785,711743.7722419929
transcription,2,2.82e-06,-12.778773673014252,-0.1565095408351685,709219.8581560283
senses,6,8.51e-06,-11.674268615378992,-0.5139508261867433,705052.8789659225
bothering,3,4.27e-06,-12.363896730723742,-0.24264194900181685,702576.1124121781
pixels,2,2.88e-06,-12.75772026381642,-0.1567678204759216,694444.4444444445
ln,3,4.37e-06,-12.340747548856775,-0.24309710478421662,686498.8558352403
python,3,4.37e-06,-12.340747548856775,-0.24309710478421662,686498.8558352403
det,2,2.95e-06,-12.733705387612545,-0.15706347360177003,677966.1016949152
indifferent,2,2.95e-06,-12.733705387612545,-0.15706347360177003,677966.1016949152
investments,12,1.78e-05,-10.936312100666235,-1.0972620285104122,674157.3033707866
quantum,7,1.05e-05,-11.464135300800796,-0.6105999114918884,666666.6666666667
transportation,23,3.47e-05,-10.26877087101146,-2.2398006819811855,662824.2074927953
doorway,2,3.02e-06,-12.710253726577497,-0.15735327106947866,662251.655629139
guinness,2,3.02e-06,-12.710253726577497,-0.15735327106947866,662251.655629139
startup,3,4.57e-06,-12.29599735305816,-0.24398183521516978,656455.1422319474
input,18,2.75e-05,-10.501324553291749,-1.714069487963565,654545.4545454545
meters,12,1.86e-05,-10.892348977245119,-1.101690739533671,645161.2903225806
escort,5,7.76e-06,-11.766528223769146,-0.42493417811208556,644329.8969072165
bulb,3,4.68e-06,-12.272212448034718,-0.24445469899605773,641025.641025641
jeep,3,4.68e-06,-12.272212448034718,-0.24445469899605773,641025.641025641
projecting,2,3.16e-06,-12.664938530365454,-0.1579162816467526,632911.3924050634
processing,17,2.69e-05,-10.52338427135648,-1.6154498934598607,631970.2602230483
bonuses,3,4.79e-06,-12.24898014654145,-0.2449183494551636,626304.8016701462
inflation,9,1.45e-05,-11.141361908537746,-0.8078007046071453,620689.6551724138
heater,2,3.24e-06,-12.639937228160036,-0.1582286338846902,617283.9506172839
comprehension,2,3.31e-06,-12.618562368575303,-0.15849666083837805,604229.6072507553
ipad,6,1e-05,-11.512925464970229,-0.5211533782839022,600000.0
bananas,3,5.01e-06,-12.2040746428675,-0.24581953878439344,598802.3952095808
maybe,153,0.000257,-8.266434473069054,-18.50858438404776,595330.7392996108
vacancy,2,3.39e-06,-12.594680636571915,-0.15879719841347006,589970.5014749262
oecd,2,3.39e-06,-12.594680636571915,-0.15879719841347006,589970.5014749262
javascript,2,3.39e-06,-12.594680636571915,-0.15879719841347006,589970.5014749262
apartments,6,1.02e-05,-11.493122837674049,-0.5220513244957422,588235.294117647
bucks,9,1.55e-05,-11.074670534039074,-0.8126652591910186,580645.1612903225
ci,2,3.47e-06,-12.571355964005507,-0.15909182794015456,576368.8760806917
template,4,7.08e-06,-11.858236650258645,-0.33731828078441617,564971.7514124294
16g,2,3.55e-06,-12.54856295447695,-0.15938079979799283,563380.2816901408
18g,2,3.55e-06,-12.54856295447695,-0.15938079979799283,563380.2816901408
dependency,2,3.55e-06,-12.54856295447695,-0.15938079979799283,563380.2816901408
51g,2,3.55e-06,-12.54856295447695,-0.15938079979799283,563380.2816901408
23g,2,3.55e-06,-12.54856295447695,-0.15938079979799283,563380.2816901408
41g,2,3.55e-06,-12.54856295447695,-0.15938079979799283,563380.2816901408
15g,2,3.55e-06,-12.54856295447695,-0.15938079979799283,563380.2816901408
44g,2,3.55e-06,-12.54856295447695,-0.15938079979799283,563380.2816901408
96g,2,3.55e-06,-12.54856295447695,-0.15938079979799283,563380.2816901408
40g,2,3.55e-06,-12.54856295447695,-0.15938079979799283,563380.2816901408
31g,2,3.55e-06,-12.54856295447695,-0.15938079979799283,563380.2816901408
lax,2,3.55e-06,-12.54856295447695,-0.15938079979799283,563380.2816901408
meme,2,3.55e-06,-12.54856295447695,-0.15938079979799283,563380.2816901408
displays,7,1.26e-05,-11.281813744006842,-0.6204676090950855,555555.5555555556
geometric,2,3.63e-06,-12.526277909687515,-0.1596643483738493,550964.1873278237
sausage,3,5.5e-06,-12.110762465725848,-0.24771355300627618,545454.5454545454
receipts,3,5.5e-06,-12.110762465725848,-0.24771355300627618,545454.5454545454
sentences,8,1.48e-05,-11.120883377194204,-0.7193673136079949,540540.5405405405
write,55,0.000102,-9.190537744680004,-5.98441587727955,539215.6862745098
priority,13,2.45e-05,-10.616837440413592,-1.2244700997789384,530612.2448979592
yield,8,1.51e-05,-11.100815814143395,-0.7206677539687949,529801.3245033113
missions,9,1.7e-05,-10.982297213908058,-0.8195006768349282,529411.7647058824
groceries,2,3.8e-06,-12.480509491231935,-0.1602498681167689,526315.7894736842
webb,3,5.75e-06,-12.066310703155015,-0.24862611893588824,521739.1304347826
options,26,5.01e-05,-9.901489549873455,-2.62586753932718,518962.0758483034
mails,2,3.89e-06,-12.457101400333919,-0.16055099302205159,514138.81748071976
insecurity,2,3.89e-06,-12.457101400333919,-0.16055099302205159,514138.81748071976
communicating,3,5.89e-06,-12.042254560300778,-0.2491227855197465,509337.8607809847
stare,4,7.94e-06,-11.74359728270523,-0.34061113504724755,503778.3375314861
irrational,2,3.98e-06,-12.434228738667928,-0.16084632525541417,502512.5628140704
wh,2,3.98e-06,-12.434228738667928,-0.16084632525541417,502512.5628140704
convergence,2,3.98e-06,-12.434228738667928,-0.16084632525541417,502512.5628140704
wasting,6,1.2e-05,-11.330603908176274,-0.5295392945181273,500000.0
projection,3,6.03e-06,-12.01876354722518,-0.24960970304575314,497512.43781094527
feasible,3,6.03e-06,-12.01876354722518,-0.24960970304575314,497512.43781094527
palestinian,9,1.82e-05,-10.914088963881525,-0.8246221951996264,494505.49450549454
erase,2,4.07e-06,-12.41186755850977,-0.16113610547099083,491400.4914004914
freelance,2,4.07e-06,-12.41186755850977,-0.16113610547099083,491400.4914004914
complementary,2,4.07e-06,-12.41186755850977,-0.16113610547099083,491400.4914004914
estate,27,5.62e-05,-9.78659380106463,-2.7588761267544197,480427.0462633452
neural,2,4.17e-06,-12.387594522153565,-0.1614518457496543,479616.30695443647
divide,6,1.26e-05,-11.281813744006842,-0.531829379224359,476190.4761904762
concentrate,6,1.26e-05,-11.281813744006842,-0.531829379224359,476190.4761904762
forums,3,6.31e-06,-11.973374881411152,-0.25055592343120786,475435.8161648178
safari,2,4.27e-06,-12.363896730723742,-0.16176129933454456,468384.074941452
correlation,3,6.46e-06,-11.949881240169764,-0.2510485200401356,464396.2848297214
besides,21,4.57e-05,-9.993412260064115,-2.101384337351982,459518.59956236323
tenth,4,8.71e-06,-11.651038767099863,-0.3433170277739679,459242.2502870264
homeland,4,8.71e-06,-11.651038767099863,-0.3433170277739679,459242.2502870264
"7,11",2,4.37e-06,-12.340747548856775,-0.1620647365228111,457665.9038901602
extraction,3,6.61e-06,-11.926926904100679,-0.25153168323422437,453857.791225416
stems,3,6.61e-06,-11.926926904100679,-0.25153168323422437,453857.791225416
attracts,2,4.47e-06,-12.318122149338796,-0.16236241009408683,447427.2930648769
matrix,5,1.12e-05,-11.399596779663225,-0.4386120050245947,446428.5714285714
primitive,3,6.76e-06,-11.904487667909402,-0.2520058051794213,443786.9822485207
imagination,7,1.58e-05,-11.055500617931353,-0.6331689755094784,443037.97468354425
artificial,7,1.58e-05,-11.055500617931353,-0.6331689755094784,443037.97468354425
dividing,2,4.57e-06,-12.29599735305816,-0.1626545568101132,437636.76148796495
girlfriends,2,4.57e-06,-12.29599735305816,-0.1626545568101132,437636.76148796495
mechanism,10,2.29e-05,-10.68437364740408,-0.9359463015812483,436681.22270742356
radar,7,1.62e-05,-11.030499315725935,-0.6346040917676553,432098.76543209876
thirds,4,9.33e-06,-11.582275543105021,-0.34535527885806666,428724.54448017146
brain,34,7.94e-05,-9.441012189711184,-3.6013087703724396,428211.5869017632
401k,5,1.17e-05,-11.355921716160564,-0.44029891407973704,427350.4273504274
paragraphs,2,4.68e-06,-12.272212448034718,-0.16296979933070516,427350.4273504273
browse,2,4.68e-06,-12.272212448034718,-0.16296979933070516,427350.4273504273
entertainment,14,3.31e-05,-10.315977275581258,-1.3571181504188767,422960.7250755287
ambition,4,9.55e-06,-11.558969403471636,-0.34605161242131455,418848.167539267
supposed,31,7.41e-05,-9.510095025662233,-3.259694032115239,418353.5762483131
selfish,5,1.2e-05,-11.330603908176274,-0.44128274543177276,416666.6666666666
apartment,19,4.57e-05,-9.993412260064115,-1.901252495699412,415754.9234135667
nitrogen,3,7.24e-06,-11.83588935156665,-0.25346637763244273,414364.6408839779
calculated,7,1.7e-05,-10.982297213908058,-0.6373894153160553,411764.70588235295
creates,8,1.95e-05,-10.845096092394574,-0.7376605916484431,410256.41025641025
g,39,9.55e-05,-9.25638431047759,-4.213308208892611,408376.9633507853
photoshop,2,4.9e-06,-12.226275352847694,-0.16358211657110833,408163.2653061225
digits,2,4.9e-06,-12.226275352847694,-0.16358211657110833,408163.2653061225
agriculture,12,2.95e-05,-10.4311202946185,-1.150403759238679,406779.66101694916
bitches,3,7.41e-06,-11.812680118656278,-0.2539643814837557,404858.29959514167
pushes,2,5.01e-06,-12.2040746428675,-0.16387969252292897,399201.5968063872
separating,2,5.01e-06,-12.2040746428675,-0.16387969252292897,399201.5968063872
economics,10,2.51e-05,-10.592642711826535,-0.9440514772423261,398406.374501992
dollars,23,5.89e-05,-9.739669467306733,-2.3614764420090824,390492.3599320883
downloads,2,5.13e-06,-12.180404898781596,-0.16419815405315957,389863.5477582846
node,2,5.13e-06,-12.180404898781596,-0.16419815405315957,389863.5477582846
mint,3,7.76e-06,-11.766528223769146,-0.2549605068672513,386597.9381443299
what's,56,0.000145,-8.8387768155437,-6.335718297753542,386206.8965517241
learning,33,8.71e-05,-9.348453674105818,-3.5299955640157203,378874.85648679675
continuity,3,7.94e-06,-11.74359728270523,-0.25545835128543565,377833.7531486146
patterns,9,2.4e-05,-10.637456727616328,-0.8460668964823836,375000.0
sessions,8,2.14e-05,-10.752119635936468,-0.7440393402303537,373831.7757009346
menu,8,2.14e-05,-10.752119635936468,-0.7440393402303537,373831.7757009346
metabolism,2,5.37e-06,-12.134682649443501,-0.16481683598801988,372439.47858472995
rotating,2,5.37e-06,-12.134682649443501,-0.16481683598801988,372439.47858472995
hunger,6,1.62e-05,-11.030499315725935,-0.543946364372276,370370.37037037034
palestinians,3,8.13e-06,-11.719949634404555,-0.2559737962689989,369003.69003690034
puzzle,3,8.13e-06,-11.719949634404555,-0.2559737962689989,369003.69003690034
algorithm,3,8.13e-06,-11.719949634404555,-0.2559737962689989,369003.69003690034
monkeys,3,8.13e-06,-11.719949634404555,-0.2559737962689989,369003.69003690034
basically,14,3.8e-05,-10.177924398237888,-1.375526035782289,368421.05263157893
computers,9,2.45e-05,-10.616837440413592,-0.8477100690777266,367346.93877551024
communication,18,4.9e-05,-9.923690259853647,-1.8138413764100556,367346.93877551024
energy,59,0.000162,-8.72791422273189,-6.759919780872072,364197.5308641975
equations,2,5.5e-06,-12.110762465725848,-0.1651423686708508,363636.36363636365
investing,4,1.1e-05,-11.417615285165903,-0.35033585386231364,363636.36363636365
let's,42,0.000117,-9.053336623166517,-4.639173571932198,358974.358974359
civilization,4,1.12e-05,-11.399596779663225,-0.3508896040196757,357142.85714285716
rent,11,3.09e-05,-10.384754374060574,-1.0592450821442836,355987.05501618126
bi,3,8.51e-06,-11.674268615378992,-0.25697541309337163,352526.43948296126
toast,3,8.51e-06,-11.674268615378992,-0.25697541309337163,352526.43948296126
sciences,9,2.57e-05,-10.5690195660631,-0.8515454005685458,350194.55252918287
physics,8,2.29e-05,-10.68437364740408,-0.7487570412649986,349344.97816593887
batteries,4,1.15e-05,-11.37316352259507,-0.3517051339368504,347826.0869565217
magnitude,4,1.15e-05,-11.37316352259507,-0.3517051339368504,347826.0869565217
retiring,2,5.75e-06,-12.066310703155015,-0.16575074595725883,347826.0869565217
