word,count,freq,log_freq,tfidf,tfiedf,Topic,,,
googled,2,1.07E-06,-13.74785191,-0.1454772726,1869158.879,,516,FALSE,188
programmable,2,1.07E-06,-13.74785191,-0.1454772726,1869158.879,code,518,TRUE,190
tenths,2,1.12E-06,-13.70218187,-0.1459621554,1785714.286,,520,FALSE,190
meditation,18,1.02E-05,-11.49312284,-1.566153973,1764705.882,hobby,538,TRUE,208
buena,2,1.15E-06,-13.67574862,-0.1462442793,1739130.435,,540,FALSE,208
earns,5,2.88E-06,-12.75772026,-0.3919195512,1736111.111,money,545,TRUE,213
bothers,6,3.47E-06,-12.57135596,-0.4772754838,1729106.628,,551,FALSE,213
moore's,2,1.17E-06,-13.65850681,-0.1464288907,1709401.709,,553,FALSE,213
a12,12,7.24E-06,-11.83588935,-1.013865511,1657458.564,,565,FALSE,213
yelp,2,1.23E-06,-13.60849639,-0.1469670082,1626016.26,,567,FALSE,213
bots,2,1.23E-06,-13.60849639,-0.1469670082,1626016.26,ml,569,TRUE,215
transcend,2,1.23E-06,-13.60849639,-0.1469670082,1626016.26,,571,FALSE,215
opposites,2,1.26E-06,-13.58439884,-0.147227715,1587301.587,,573,FALSE,215
4a,2,1.26E-06,-13.58439884,-0.147227715,1587301.587,,575,FALSE,215
bummed,2,1.26E-06,-13.58439884,-0.147227715,1587301.587,,577,FALSE,215
deviation,5,3.16E-06,-12.66493853,-0.3947907041,1582278.481,statistics,582,TRUE,220
horny,6,3.80E-06,-12.48050949,-0.4807496044,1578947.368,hobby,588,TRUE,226
generalization,3,1.91E-06,-13.16840732,-0.2278179835,1570680.628,,591,FALSE,226
flush,8,5.37E-06,-12.13468265,-0.659267344,1489757.914,,599,FALSE,226
annex,5,3.47E-06,-12.57135596,-0.3977295699,1440922.19,,604,FALSE,226
templates,3,2.09E-06,-13.07834649,-0.2293867961,1435406.699,,607,FALSE,226
conditioner,3,2.09E-06,-13.07834649,-0.2293867961,1435406.699,,610,FALSE,226
10g,5,3.55E-06,-12.54856295,-0.3984519995,1408450.704,,615,FALSE,226
tasks,26,1.86E-05,-10.89234898,-2.386996602,1397849.462,project management,641,TRUE,252
predict,16,1.15E-05,-11.37316352,-1.406820536,1391304.348,,657,FALSE,252
3g,4,2.88E-06,-12.75772026,-0.313535641,1388888.889,,661,FALSE,252
f,160,0.000117,-9.053336623,-17.67304218,1367521.368,,821,FALSE,252
hebrew,12,9.12E-06,-11.60504075,-1.034033422,1315789.474,nlp,833,TRUE,264
relocation,4,3.09E-06,-12.68733947,-0.3152749251,1294498.382,,837,FALSE,264
2a,4,3.09E-06,-12.68733947,-0.3152749251,1294498.382,,841,FALSE,264
a11,9,7.24E-06,-11.83588935,-0.7603991329,1243093.923,,850,FALSE,264
exponentially,2,1.62E-06,-13.33308441,-0.1500028005,1234567.901,,852,FALSE,264
instinctively,2,1.62E-06,-13.33308441,-0.1500028005,1234567.901,,854,FALSE,264
verbs,3,2.45E-06,-12.91942253,-0.2322085211,1224489.796,nlp,857,TRUE,267
emails,11,9.12E-06,-11.60504075,-0.9478639699,1206140.351,project management,868,TRUE,278
"7,6,4",2,1.66E-06,-13.30869296,-0.1502777175,1204819.277,,870,FALSE,278
shelton,2,1.66E-06,-13.30869296,-0.1502777175,1204819.277,,872,FALSE,278
syllables,2,1.66E-06,-13.30869296,-0.1502777175,1204819.277,nlp,874,TRUE,280
_,30,2.51E-05,-10.59264271,-2.832154432,1195219.124,,904,FALSE,280
derivative,5,4.27E-06,-12.36389673,-0.4044032483,1170960.187,math,909,TRUE,285
induction,5,4.37E-06,-12.34074755,-0.4051618413,1144164.76,math,914,TRUE,290
anesthesia,2,1.78E-06,-13.23889719,-0.151069985,1123595.506,,916,FALSE,290
agendas,2,1.78E-06,-13.23889719,-0.151069985,1123595.506,,918,FALSE,290
contradict,3,2.69E-06,-12.82596936,-0.2339004495,1115241.636,,921,FALSE,290
entropy,2,1.82E-06,-13.21667406,-0.1513240011,1098901.099,physics,923,TRUE,292
millionaire,5,4.57E-06,-12.29599735,-0.406636392,1094091.904,money,928,TRUE,297
autobiography,5,4.57E-06,-12.29599735,-0.406636392,1094091.904,,933,FALSE,297
blender,2,1.86E-06,-13.19493407,-0.1515733227,1075268.817,art,935,TRUE,299
hierarchical,2,1.86E-06,-13.19493407,-0.1515733227,1075268.817,,937,FALSE,299
multiply,4,3.72E-06,-12.50178689,-0.3199542622,1075268.817,math,941,TRUE,303
4g,3,2.82E-06,-12.77877367,-0.2347643113,1063829.787,,944,FALSE,303
probability,12,1.15E-05,-11.37316352,-1.055115402,1043478.261,statistics,956,TRUE,315
simulate,3,2.88E-06,-12.75772026,-0.2351517307,1041666.667,,959,FALSE,315
gdp,11,1.07E-05,-11.44526682,-0.9610959863,1028037.383,money,970,TRUE,326
stripper,3,3.02E-06,-12.71025373,-0.2360299066,993377.4834,hobby,973,TRUE,329
calories,9,9.12E-06,-11.60504075,-0.7755250663,986842.1053,food,982,TRUE,338
dopamine,2,2.04E-06,-13.10256075,-0.1526419177,980392.1569,biology,984,TRUE,340
retire,10,1.02E-05,-11.49312284,-0.8700855408,980392.1569,money,994,TRUE,350
api,5,5.13E-06,-12.1804049,-0.4104953851,974658.8694,code,999,TRUE,355
analyze,7,7.24E-06,-11.83588935,-0.5914215478,966850.8287,,1006,FALSE,355
sucker,4,4.17E-06,-12.38759452,-0.3229036915,959232.6139,,1010,FALSE,355
meantime,11,1.15E-05,-11.37316352,-0.9671891183,956521.7391,,1021,FALSE,355
paradox,4,4.37E-06,-12.34074755,-0.324129473,915331.8078,logic,1025,TRUE,359
mutation,4,4.37E-06,-12.34074755,-0.324129473,915331.8078,biology,1029,TRUE,363
maximize,4,4.37E-06,-12.34074755,-0.324129473,915331.8078,,1033,FALSE,363
invest,17,1.86E-05,-10.89234898,-1.560728548,913978.4946,money,1050,TRUE,380
computation,2,2.19E-06,-13.03160901,-0.15347299,913242.0091,code,1052,TRUE,382
squared,2,2.19E-06,-13.03160901,-0.15347299,913242.0091,,1054,FALSE,382
hierarchy,6,6.61E-06,-11.9269269,-0.5030633665,907715.5825,,1060,FALSE,382
vat,3,3.31E-06,-12.61856237,-0.2377449913,906344.4109,,1063,FALSE,382
calorie,3,3.31E-06,-12.61856237,-0.2377449913,906344.4109,food,1066,TRUE,385
x,131,0.000145,-8.838776816,-14.8210553,903448.2759,,1197,FALSE,385
concepts,16,1.78E-05,-10.9363121,-1.463016038,898876.4045,,1213,FALSE,385
std,2,2.24E-06,-13.00903469,-0.1537393087,892857.1429,math,1215,TRUE,387
noun,3,3.39E-06,-12.59468064,-0.2381957976,884955.7522,nlp,1218,TRUE,390
vector,7,7.94E-06,-11.74359728,-0.5960694863,881612.0907,,1225,FALSE,390
3a,2,2.29E-06,-12.98695874,-0.1540006433,873362.4454,,1227,FALSE,390
overflow,2,2.29E-06,-12.98695874,-0.1540006433,873362.4454,code,1229,TRUE,392
particle,7,8.13E-06,-11.71994963,-0.5972721913,861008.6101,,1236,FALSE,392
connects,5,5.89E-06,-12.04225456,-0.4152046425,848896.4346,,1241,FALSE,392
13g,3,3.55E-06,-12.54856295,-0.2390711997,845070.4225,,1244,FALSE,392
simulation,7,8.32E-06,-11.6968483,-0.5984518067,841346.1538,,1251,FALSE,392
objectively,2,2.40E-06,-12.94004182,-0.1545590059,833333.3333,,1253,FALSE,392
tags,6,7.24E-06,-11.83588935,-0.5069327553,828729.2818,,1259,FALSE,392
addictive,3,3.63E-06,-12.52627791,-0.2394965226,826446.281,,1262,FALSE,392
stride,2,2.45E-06,-12.91942253,-0.1548056807,816326.5306,,1264,FALSE,392
minimize,5,6.17E-06,-11.99581172,-0.4168121438,810372.7715,,1269,FALSE,392
vectors,2,2.51E-06,-12.8952278,-0.1550961356,796812.749,,1271,FALSE,392
genes,10,1.26E-05,-11.28181374,-0.8863822987,793650.7937,biology,1281,TRUE,402
prediction,6,7.59E-06,-11.78867897,-0.5089628802,790513.834,,1287,FALSE,402
refrigerator,3,3.89E-06,-12.4571014,-0.2408264895,771208.2262,,1290,FALSE,402
dictate,3,3.89E-06,-12.4571014,-0.2408264895,771208.2262,,1293,FALSE,402
dimensional,7,9.12E-06,-11.60504075,-0.6031861627,767543.8596,,1300,FALSE,402
128g,2,2.63E-06,-12.84852671,-0.1556598702,760456.2738,,1302,FALSE,402
112g,2,2.63E-06,-12.84852671,-0.1556598702,760456.2738,,1304,FALSE,402
123g,2,2.63E-06,-12.84852671,-0.1556598702,760456.2738,,1306,FALSE,402
100g,2,2.63E-06,-12.84852671,-0.1556598702,760456.2738,,1308,FALSE,402
330g,2,2.63E-06,-12.84852671,-0.1556598702,760456.2738,,1310,FALSE,402
simulator,3,3.98E-06,-12.43422874,-0.2412694879,753768.8442,,1313,FALSE,402
adrenaline,2,2.69E-06,-12.82596936,-0.155933633,743494.4238,biology,1315,TRUE,404
lasers,2,2.75E-06,-12.80390965,-0.1562022894,727272.7273,physics,1317,TRUE,406
hamas,6,8.32E-06,-11.6968483,-0.5129586915,721153.8462,politics,1323,TRUE,412
invention,8,1.12E-05,-11.39959678,-0.701779208,714285.7143,,1331,FALSE,412
versa,4,5.62E-06,-12.08917889,-0.3308744155,711743.7722,,1335,FALSE,412
transcription,2,2.82E-06,-12.77877367,-0.1565095408,709219.8582,nlp,1337,TRUE,414
senses,6,8.51E-06,-11.67426862,-0.5139508262,705052.879,biology,1343,TRUE,420
bothering,3,4.27E-06,-12.36389673,-0.242641949,702576.1124,,1346,FALSE,420
pixels,2,2.88E-06,-12.75772026,-0.1567678205,694444.4444,,1348,FALSE,420
ln,3,4.37E-06,-12.34074755,-0.2430971048,686498.8558,,1351,FALSE,420
python,3,4.37E-06,-12.34074755,-0.2430971048,686498.8558,code,1354,TRUE,423
det,2,2.95E-06,-12.73370539,-0.1570634736,677966.1017,,1356,FALSE,423
indifferent,2,2.95E-06,-12.73370539,-0.1570634736,677966.1017,,1358,FALSE,423
investments,12,1.78E-05,-10.9363121,-1.097262029,674157.3034,money,1370,TRUE,435
quantum,7,1.05E-05,-11.4641353,-0.6105999115,666666.6667,physics,1377,TRUE,442
transportation,23,3.47E-05,-10.26877087,-2.239800682,662824.2075,sociology,1400,TRUE,465
doorway,2,3.02E-06,-12.71025373,-0.1573532711,662251.6556,,1402,FALSE,465
guinness,2,3.02E-06,-12.71025373,-0.1573532711,662251.6556,,1404,FALSE,465
startup,3,4.57E-06,-12.29599735,-0.2439818352,656455.1422,startup,1407,TRUE,468
input,18,2.75E-05,-10.50132455,-1.714069488,654545.4545,,1425,FALSE,468
meters,12,1.86E-05,-10.89234898,-1.10169074,645161.2903,physics,1437,TRUE,480
escort,5,7.76E-06,-11.76652822,-0.4249341781,644329.8969,hobby,1442,TRUE,485
bulb,3,4.68E-06,-12.27221245,-0.244454699,641025.641,,1445,FALSE,485
jeep,3,4.68E-06,-12.27221245,-0.244454699,641025.641,,1448,FALSE,485
projecting,2,3.16E-06,-12.66493853,-0.1579162816,632911.3924,,1450,FALSE,485
processing,17,2.69E-05,-10.52338427,-1.615449893,631970.2602,,1467,FALSE,485
bonuses,3,4.79E-06,-12.24898015,-0.2449183495,626304.8017,,1470,FALSE,485
inflation,9,1.45E-05,-11.14136191,-0.8078007046,620689.6552,money,1479,TRUE,494
heater,2,3.24E-06,-12.63993723,-0.1582286339,617283.9506,,1481,FALSE,494
comprehension,2,3.31E-06,-12.61856237,-0.1584966608,604229.6073,,1483,FALSE,494
ipad,6,1.00E-05,-11.51292546,-0.5211533783,600000,,1489,FALSE,494
bananas,3,5.01E-06,-12.20407464,-0.2458195388,598802.3952,food,1492,TRUE,497
maybe,153,0.000257,-8.266434473,-18.50858438,595330.7393,,1645,FALSE,497
vacancy,2,3.39E-06,-12.59468064,-0.1587971984,589970.5015,real estate,1647,TRUE,499
oecd,2,3.39E-06,-12.59468064,-0.1587971984,589970.5015,sociology,1649,TRUE,501
javascript,2,3.39E-06,-12.59468064,-0.1587971984,589970.5015,code,1651,TRUE,503
apartments,6,1.02E-05,-11.49312284,-0.5220513245,588235.2941,real estate,1657,TRUE,509
bucks,9,1.55E-05,-11.07467053,-0.8126652592,580645.1613,money,1666,TRUE,518
ci,2,3.47E-06,-12.57135596,-0.1590918279,576368.8761,,1668,FALSE,518
template,4,7.08E-06,-11.85823665,-0.3373182808,564971.7514,,1672,FALSE,518
16g,2,3.55E-06,-12.54856295,-0.1593807998,563380.2817,,1674,FALSE,518
18g,2,3.55E-06,-12.54856295,-0.1593807998,563380.2817,,1676,FALSE,518
dependency,2,3.55E-06,-12.54856295,-0.1593807998,563380.2817,nlp,1678,TRUE,520
51g,2,3.55E-06,-12.54856295,-0.1593807998,563380.2817,,1680,FALSE,520
23g,2,3.55E-06,-12.54856295,-0.1593807998,563380.2817,,1682,FALSE,520
41g,2,3.55E-06,-12.54856295,-0.1593807998,563380.2817,,1684,FALSE,520
15g,2,3.55E-06,-12.54856295,-0.1593807998,563380.2817,,1686,FALSE,520
44g,2,3.55E-06,-12.54856295,-0.1593807998,563380.2817,,1688,FALSE,520
96g,2,3.55E-06,-12.54856295,-0.1593807998,563380.2817,,1690,FALSE,520
40g,2,3.55E-06,-12.54856295,-0.1593807998,563380.2817,,1692,FALSE,520
31g,2,3.55E-06,-12.54856295,-0.1593807998,563380.2817,,1694,FALSE,520
lax,2,3.55E-06,-12.54856295,-0.1593807998,563380.2817,,1696,FALSE,520
meme,2,3.55E-06,-12.54856295,-0.1593807998,563380.2817,,1698,FALSE,520
displays,7,1.26E-05,-11.28181374,-0.6204676091,555555.5556,,1705,FALSE,520
geometric,2,3.63E-06,-12.52627791,-0.1596643484,550964.1873,,1707,FALSE,520
sausage,3,5.50E-06,-12.11076247,-0.247713553,545454.5455,food,1710,TRUE,523
receipts,3,5.50E-06,-12.11076247,-0.247713553,545454.5455,food,1713,TRUE,526
sentences,8,1.48E-05,-11.12088338,-0.7193673136,540540.5405,nlp,1721,TRUE,534
write,55,0.000102,-9.190537745,-5.984415877,539215.6863,,1776,FALSE,534
priority,13,2.45E-05,-10.61683744,-1.2244701,530612.2449,project management,1789,TRUE,547
yield,8,1.51E-05,-11.10081581,-0.720667754,529801.3245,money,1797,TRUE,555
missions,9,1.70E-05,-10.98229721,-0.8195006768,529411.7647,,1806,FALSE,555
groceries,2,3.80E-06,-12.48050949,-0.1602498681,526315.7895,food,1808,TRUE,557
webb,3,5.75E-06,-12.0663107,-0.2486261189,521739.1304,,1811,FALSE,557
options,26,5.01E-05,-9.90148955,-2.625867539,518962.0758,,1837,FALSE,557
mails,2,3.89E-06,-12.4571014,-0.160550993,514138.8175,project management,1839,TRUE,559
insecurity,2,3.89E-06,-12.4571014,-0.160550993,514138.8175,,1841,FALSE,559
communicating,3,5.89E-06,-12.04225456,-0.2491227855,509337.8608,,1844,FALSE,559
stare,4,7.94E-06,-11.74359728,-0.340611135,503778.3375,,1848,FALSE,559
irrational,2,3.98E-06,-12.43422874,-0.1608463253,502512.5628,,1850,FALSE,559
wh,2,3.98E-06,-12.43422874,-0.1608463253,502512.5628,,1852,FALSE,559
convergence,2,3.98E-06,-12.43422874,-0.1608463253,502512.5628,,1854,FALSE,559
wasting,6,1.20E-05,-11.33060391,-0.5295392945,500000,,1860,FALSE,559
projection,3,6.03E-06,-12.01876355,-0.249609703,497512.4378,,1863,FALSE,559
feasible,3,6.03E-06,-12.01876355,-0.249609703,497512.4378,,1866,FALSE,559
palestinian,9,1.82E-05,-10.91408896,-0.8246221952,494505.4945,politics,1875,TRUE,568
erase,2,4.07E-06,-12.41186756,-0.1611361055,491400.4914,,1877,FALSE,568
freelance,2,4.07E-06,-12.41186756,-0.1611361055,491400.4914,code,1879,TRUE,570
complementary,2,4.07E-06,-12.41186756,-0.1611361055,491400.4914,,1881,FALSE,570
estate,27,5.62E-05,-9.786593801,-2.758876127,480427.0463,real estate,1908,TRUE,597
neural,2,4.17E-06,-12.38759452,-0.1614518457,479616.307,,1910,FALSE,597
divide,6,1.26E-05,-11.28181374,-0.5318293792,476190.4762,math,1916,TRUE,603
concentrate,6,1.26E-05,-11.28181374,-0.5318293792,476190.4762,,1922,FALSE,603
forums,3,6.31E-06,-11.97337488,-0.2505559234,475435.8162,,1925,FALSE,603
safari,2,4.27E-06,-12.36389673,-0.1617612993,468384.0749,,1927,FALSE,603
correlation,3,6.46E-06,-11.94988124,-0.25104852,464396.2848,statistics,1930,TRUE,606
besides,21,4.57E-05,-9.99341226,-2.101384337,459518.5996,,1951,FALSE,606
tenth,4,8.71E-06,-11.65103877,-0.3433170278,459242.2503,,1955,FALSE,606
homeland,4,8.71E-06,-11.65103877,-0.3433170278,459242.2503,,1959,FALSE,606
"7,11",2,4.37E-06,-12.34074755,-0.1620647365,457665.9039,,1961,FALSE,606
extraction,3,6.61E-06,-11.9269269,-0.2515316832,453857.7912,,1964,FALSE,606
stems,3,6.61E-06,-11.9269269,-0.2515316832,453857.7912,,1967,FALSE,606
attracts,2,4.47E-06,-12.31812215,-0.1623624101,447427.2931,,1969,FALSE,606
matrix,5,1.12E-05,-11.39959678,-0.438612005,446428.5714,,1974,FALSE,606
primitive,3,6.76E-06,-11.90448767,-0.2520058052,443786.9822,,1977,FALSE,606
imagination,7,1.58E-05,-11.05550062,-0.6331689755,443037.9747,,1984,FALSE,606
artificial,7,1.58E-05,-11.05550062,-0.6331689755,443037.9747,ml,1991,TRUE,613
dividing,2,4.57E-06,-12.29599735,-0.1626545568,437636.7615,math,1993,TRUE,615
girlfriends,2,4.57E-06,-12.29599735,-0.1626545568,437636.7615,,1995,FALSE,615
mechanism,10,2.29E-05,-10.68437365,-0.9359463016,436681.2227,,2005,FALSE,615
radar,7,1.62E-05,-11.03049932,-0.6346040918,432098.7654,project management,2012,TRUE,622
thirds,4,9.33E-06,-11.58227554,-0.3453552789,428724.5445,,2016,FALSE,622
brain,34,7.94E-05,-9.44101219,-3.60130877,428211.5869,biology,2050,TRUE,656
paragraphs,2,4.68E-06,-12.27221245,-0.1629697993,427350.4274,nlp,2057,TRUE,658
browse,2,4.68E-06,-12.27221245,-0.1629697993,427350.4274,,2059,FALSE,658
401k,5,1.17E-05,-11.35592172,-0.4402989141,427350.4274,money,2055,TRUE,663
entertainment,14,3.31E-05,-10.31597728,-1.35711815,422960.7251,hobby,2073,TRUE,677
ambition,4,9.55E-06,-11.5589694,-0.3460516124,418848.1675,,2077,FALSE,677
supposed,31,7.41E-05,-9.510095026,-3.259694032,418353.5762,,2108,FALSE,677
selfish,5,1.20E-05,-11.33060391,-0.4412827454,416666.6667,sociology,2113,TRUE,682
apartment,19,4.57E-05,-9.99341226,-1.901252496,415754.9234,real estate,2132,TRUE,701
nitrogen,3,7.24E-06,-11.83588935,-0.2534663776,414364.6409,biology,2135,TRUE,704
calculated,7,1.70E-05,-10.98229721,-0.6373894153,411764.7059,,2142,FALSE,704
creates,8,1.95E-05,-10.84509609,-0.7376605916,410256.4103,,2150,FALSE,704
g,39,9.55E-05,-9.25638431,-4.213308209,408376.9634,,2189,FALSE,704
photoshop,2,4.90E-06,-12.22627535,-0.1635821166,408163.2653,art,2191,TRUE,706
