,0,1,2,3,duration
108,hang picture,,,,0 days 01:15:00.000000000
109,code,text2vid,,,0 days 02:00:00.000000000
110,social,liad,move,,0 days 08:00:00.000000000
111,social,mati,,,0 days 02:30:00.000000000
112,cleanup,bathroom,,,0 days 01:00:00.000000000
113,check account,,,,0 days 01:00:00.000000000
114,analyze,free will,,,0 days 03:00:00.000000000
115,shiran,,,,0 days 02:00:00.000000000
116,social,mati,,,0 days 03:00:00.000000000
117,social,mati,,,0 days 02:30:00.000000000
118,shiran,lake,,,0 days 04:30:00.000000000
119,code,text2vid,,,0 days 02:30:00.000000000
120,e*trade for shiran,,,,0 days 01:00:00.000000000
121,cleanup,computer,,,0 days 01:00:00.000000000
122,learn,power and politics,,,0 days 02:00:00.000000000
123,plan,week,,,0 days 01:00:00.000000000
124,cleanup,email,,,0 days 02:00:00.000000000
125,social,"meils, javier, jp",,,0 days 03:30:00.000000000
126,postnup,,,,0 days 01:00:00.000000000
127,code,text2vid,,,0 days 03:00:00.000000000
128,social,mati,,,0 days 03:00:00.000000000
129,socail,mushroom ceremony,riccardo,,0 days 17:00:00.000000000
130,startup,yc,group session,,0 days 01:00:00.000000000
131,real estate,paint,,,0 days 01:00:00.000000000
132,real estate,talk to hemlane regarding complaint about tenants,,,0 days 01:00:00.000000000
133,code,interview,c++,,0 days 01:30:00.000000000
134,code,problem solving,,,0 days 01:00:00.000000000
135,learn,power and politics,,,0 days 02:00:00.000000000
136,learn,power and politics,,,0 days 01:00:00.000000000
137,social,"maya, gal",park,,0 days 05:00:00.000000000
138,social,daniel,wedding,,0 days 04:00:00.000000000
139,code,text2vid,,,0 days 02:00:00.000000000
140,code,problem solving,,,0 days 01:00:00.000000000
141,יום חופש,,,,1 days 00:00:00.000000000
142,family,bbq,,,0 days 03:00:00.000000000
143,social,gilad shamri,,,0 days 07:00:00.000000000
144,code,text2vid,,,0 days 02:00:00.000000000
145,analyze,previous year investments,,,0 days 05:00:00.000000000
146,social,gilad shamri,,,0 days 02:00:00.000000000
147,cleanup,email,,,0 days 01:00:00.000000000
148,cleanup,email,,,0 days 01:00:00.000000000
149,code,interview,preparation,system design,0 days 02:00:00.000000000
150,social,mati,,,0 days 05:00:00.000000000
151,code,problem solving,,,0 days 01:00:00.000000000
152,trip,lunch + park presidio,,,0 days 05:00:00.000000000
153,code,problem solving,,,0 days 01:00:00.000000000
154,social,monica,,,0 days 04:00:00.000000000
155,code,text2vid,,,0 days 02:30:00.000000000
156,social,sivan,,,0 days 03:00:00.000000000
157,cancun,tulum,,,2 days 00:00:00.000000000
158,social,kristian,,,0 days 04:00:00.000000000
159,analyze,gdp vs income,,,0 days 03:00:00.000000000
160,plan,week,,,0 days 01:00:00.000000000
161,social,liad,,,0 days 03:00:00.000000000
162,code,text2vid,,,0 days 02:00:00.000000000
163,talk to mint,optum bank,,,0 days 00:30:00.000000000
164,ml,face detection,,,0 days 02:00:00.000000000
165,plan,week,,,0 days 01:00:00.000000000
166,startup founders breakfast,,,,0 days 02:00:00.000000000
167,cleanup,email,,,0 days 01:00:00.000000000
168,cleanup,bathroom,,,0 days 01:00:00.000000000
169,shiran,beach,,,0 days 03:00:00.000000000
170,social,isaac,,,0 days 05:00:00.000000000
171,code,text2vid,,,0 days 01:30:00.000000000
172,social,"eyal, daniel",,,0 days 03:00:00.000000000
173,plan,mexico,,,0 days 03:00:00.000000000
174,analyze,civilian casualties ratio,,,0 days 01:00:00.000000000
175,cleanup,email,,,0 days 01:00:00.000000000
176,find chat,,,,0 days 01:00:00.000000000
177,code,interview,preparation,system design,0 days 01:00:00.000000000
178,social,mati,bbq,,0 days 03:30:00.000000000
179,ml,deepmoney,training on sample,,0 days 03:00:00.000000000
180,learn,power and politics,,,0 days 01:00:00.000000000
181,cleanup,bathroom,,,0 days 01:00:00.000000000
182,ashley,,,,0 days 01:00:00.000000000
183,code,problem solving,,,0 days 01:00:00.000000000
184,check account,,,,0 days 01:00:00.000000000
185,analyze,inequality in america,,,0 days 02:00:00.000000000
186,analyze,robo advisors,,,0 days 01:00:00.000000000
187,investments,real estate,analyze syndications,,0 days 01:00:00.000000000
188,cleanup,email,,,0 days 01:00:00.000000000
189,plan,week,,,0 days 01:00:00.000000000
190,reset mac,,,,0 days 03:00:00.000000000
191,trip,london,,,0 days 03:00:00.000000000
192,social,"bot, rafaeli",,,0 days 04:00:00.000000000
193,plan,week,,,0 days 01:00:00.000000000
194,cleanup,email,,,0 days 01:00:00.000000000
195,ml,face detection,,,0 days 02:00:00.000000000
196,analyze,rewards,,,0 days 02:00:00.000000000
197,haircut,,,,0 days 01:00:00.000000000
198,analyze,poker,,,0 days 02:00:00.000000000
199,social,"eyal, daniel, ziv",,,0 days 04:00:00.000000000
200,social,monica,,,0 days 03:00:00.000000000
201,code,problem solving,,,0 days 01:00:00.000000000
202,check account,,,,0 days 01:00:00.000000000
203,social,sella,podcast,,0 days 01:00:00.000000000
204,code,problem solving,,,0 days 01:00:00.000000000
205,social,monica,,,0 days 03:00:00.000000000
206,analyze,flexible withdrawal rate,,,0 days 02:00:00.000000000
207,social,mati,hike + dinner,,0 days 07:00:00.000000000
208,social,"sella, mati",,,0 days 02:00:00.000000000
209,investments,real estate,sign contract,,0 days 02:30:00.000000000
210,social,monica,,,0 days 03:00:00.000000000
211,cleanup,email,,,0 days 01:00:00.000000000
212,code,interview,preparation,system design,0 days 02:00:00.000000000
213,cleanup,email,,,0 days 01:00:00.000000000
214,learn,power and politics,,,0 days 01:00:00.000000000
215,cleanup,email,,,0 days 01:00:00.000000000
216,code,interview,preparation,system design,0 days 02:00:00.000000000
217,code,interview,c++,,0 days 01:30:00.000000000
218,cleanup,email,,,0 days 01:00:00.000000000
219,cancun,isla mujeres,,,2 days 00:00:00.000000000
220,flight to san francisco (dl 4362),,,,0 days 11:05:00.000000000
221,social,cambria,zoom party,,0 days 03:00:00.000000000
222,check account,,,,0 days 01:00:00.000000000
223,cleanup,email,,,0 days 01:00:00.000000000
224,startup,yc,application,,0 days 01:00:00.000000000
225,code,problem solving,,,0 days 01:00:00.000000000
226,analyze,plan vs. execute,,,0 days 01:00:00.000000000
227,code,problem solving,,,0 days 01:00:00.000000000
228,code,text2vid,wikipedia,,0 days 03:00:00.000000000
229,code,interview,statistical questions,,0 days 03:00:00.000000000
230,startup,yc,talk to potential users,,0 days 02:00:00.000000000
231,code,problem solving,,,0 days 01:00:00.000000000
232,cleanup,email,,,0 days 03:00:00.000000000
233,who to donate to,,,,0 days 01:00:00.000000000
234,real estate,talk to tenants regarding complaint,,,0 days 01:00:00.000000000
235,הסכם ממון,,,,0 days 01:00:00.000000000
236,shiran,golden gate park,,,0 days 03:00:00.000000000
237,cleanup,email,,,0 days 01:00:00.000000000
238,politics,arie eldad,,,0 days 02:00:00.000000000
239,code,problem solving,,,0 days 01:00:00.000000000
240,cleanup,email,,,0 days 03:00:00.000000000
241,cleanup,email,,,0 days 01:00:00.000000000
242,code,problem solving,,,0 days 01:00:00.000000000
243,shiran,,,,0 days 01:00:00.000000000
244,cleanup,bathroom,,,0 days 01:00:00.000000000
245,learn,power and politics,,,0 days 02:00:00.000000000
246,code,problem solving,,,0 days 02:00:00.000000000
247,code,problem solving,,,0 days 01:00:00.000000000
248,interview,,,,0 days 01:00:00.000000000
249,real estate,refinance,,,0 days 01:00:00.000000000
250,analyze,"inflation, interest rate, real estate prices",,,0 days 02:00:00.000000000
251,haircut,,,,0 days 01:00:00.000000000
252,code,interview,preparation,system design,0 days 02:00:00.000000000
253,ml,deepmoney,p/e to price change,,0 days 03:00:00.000000000
254,twitch music presents...,,,,0 days 03:00:00.000000000
255,what to do,,,,0 days 01:00:00.000000000
256,super bowl party!,,,,0 days 05:00:00.000000000
257,"featuring pytorch with fb, autodesk and aws",,,,0 days 02:00:00.000000000
258,social,"yoni, anna",,,0 days 01:00:00.000000000
259,startup school group session,,,,0 days 01:00:00.000000000
260,plan,week,,,0 days 01:00:00.000000000
261,social,nir,,,0 days 05:00:00.000000000
262,learn,power and politics,,,0 days 02:00:00.000000000
263,startup,yc,talk to potential users,,0 days 02:00:00.000000000
264,book flights,,,,0 days 01:00:00.000000000
265,postnup,,,,0 days 02:00:00.000000000
266,real estate,llc,,,0 days 03:00:00.000000000
267,politics,debate,,,0 days 02:00:00.000000000
268,learn,power and politics,,,0 days 02:00:00.000000000
269,ml,interview,,,0 days 02:00:00.000000000
270,social,"javi, jp",,,0 days 04:00:00.000000000
271,shiran,park,,,0 days 06:00:00.000000000
272,plan,mexico,,,0 days 01:00:00.000000000
273,cleanup,email,,,0 days 01:00:00.000000000
274,check account,,,,0 days 01:00:00.000000000
275,code,problem solving,,,0 days 01:00:00.000000000
276,code,problem solving,,,0 days 03:00:00.000000000
277,social,shiran's family,,,0 days 05:00:00.000000000
278,cleanup,bathroom,,,0 days 01:00:00.000000000
279,cleanup,email,,,0 days 03:00:00.000000000
280,code,problem solving,,,0 days 02:00:00.000000000
281,code,problem solving,,,0 days 01:00:00.000000000
282,social,mati,bbq,,0 days 05:00:00.000000000
283,code,text2vid,,,0 days 02:00:00.000000000
284,cleanup,bathroom,,,0 days 01:00:00.000000000
285,shiran,park,,,0 days 04:00:00.000000000
286,cleanup,email,,,0 days 01:00:00.000000000
287,social,vronsky,,,0 days 02:00:00.000000000
288,check account,,,,0 days 01:00:00.000000000
289,social,tal + mati,,,0 days 03:00:00.000000000
290,taxes,,,,0 days 03:00:00.000000000
291,social,mati,,,0 days 03:00:00.000000000
292,social,jewbilee,,,0 days 01:00:00.000000000
293,day off,,,,1 days 00:00:00.000000000
294,postnup,,,,0 days 01:00:00.000000000
295,code,system design,,,0 days 01:00:00.000000000
296,social,mati,burningman museum,,0 days 04:00:00.000000000
297,social,mati,,,0 days 04:00:00.000000000
298,check account,,,,0 days 01:00:00.000000000
299,social,"eyal, daniel, ziv, guy",,,0 days 04:00:00.000000000
300,code,problem solving,leetcode,,0 days 01:00:00.000000000
301,cleanup,email,,,0 days 01:00:00.000000000
302,shiran,tik tok,,,0 days 01:00:00.000000000
303,cleanup,email,,,0 days 01:00:00.000000000
304,ml,interview,,,0 days 02:00:00.000000000
305,check account,,,,0 days 00:30:00.000000000
306,cleanup,email,,,0 days 01:00:00.000000000
307,cleanup,email,,,0 days 01:00:00.000000000
308,social,"javi, ralph",,,0 days 05:00:00.000000000
309,code,interview,plan,,0 days 03:00:00.000000000
310,code,text2vid,,,0 days 03:00:00.000000000
311,לשלוח דואר לשכנה,,,,0 days 00:30:00.000000000
312,social,mati,movie night,,0 days 03:00:00.000000000
313,analyze,previous year budget,,,0 days 05:00:00.000000000
314,shiran,beach,,,0 days 03:00:00.000000000
315,"cocktails and tech networking mixer | san francisco w hotel | feb. 18, 2020",,,,0 days 02:00:00.000000000
316,what to do,,,,0 days 01:00:00.000000000
317,code,text2vid,,,0 days 01:00:00.000000000
318,social,sella,,,0 days 03:00:00.000000000
319,code,problem solving,,,0 days 01:00:00.000000000
320,social,sella,,,0 days 03:00:00.000000000
321,learn,power and politics,,,0 days 01:00:00.000000000
322,ml,interview,,,0 days 02:00:00.000000000
323,code,problem solving,,,0 days 01:00:00.000000000
324,startup,yc,group session,,0 days 00:30:00.000000000
325,course,learn how to learn,,,0 days 01:00:00.000000000
326,social,ofir,,,0 days 04:00:00.000000000
327,social,jonathan,fundemica,,2 days 00:00:00.000000000
328,cleanup,mail,,,0 days 01:00:00.000000000
329,cleanup,email,,,0 days 01:00:00.000000000
330,analyze,pallacies,,,0 days 04:00:00.000000000
331,code,problem solving,,,0 days 01:00:00.000000000
332,plan,week,,,0 days 01:00:00.000000000
333,flight  ua955 tlv to sfo,,,,0 days 15:05:00.000000000
334,real estate,llc,,,0 days 02:00:00.000000000
335,social,"liran, itay, michal",,,0 days 02:45:00.000000000
336,code,problem solving,leetcode,,0 days 01:00:00.000000000
337,code,text2vid,,,0 days 02:00:00.000000000
338,social,mati,app,,0 days 02:00:00.000000000
339,learn,power and politics,,,0 days 02:00:00.000000000
340,shiran,,,,0 days 01:00:00.000000000
341,shiran,brunch,,,0 days 04:00:00.000000000
342,social,jason,,,0 days 02:00:00.000000000
343,social,mati,,,0 days 05:00:00.000000000
344,ira,,,,0 days 01:00:00.000000000
345,ברכה לדניאל ויונית,,,,0 days 01:00:00.000000000
346,code,problem solving,,,0 days 03:30:00.000000000
347,learn,power and politics,,,0 days 02:00:00.000000000
348,read,crystal society,,,0 days 01:00:00.000000000
349,read,crystal society,,,0 days 01:00:00.000000000
350,social,mati,beach,,0 days 05:00:00.000000000
351,learn,power and politics,,,0 days 02:00:00.000000000
352,code,problem solving,,,0 days 01:00:00.000000000
353,ml,interview,,,0 days 02:00:00.000000000
354,cleanup,email,,,0 days 01:00:00.000000000
355,social,mati,movie night,,0 days 05:00:00.000000000
356,code,text2vid,,,0 days 02:00:00.000000000
357,social,sella,podcast,,0 days 01:00:00.000000000
358,cheeps,elastic beans,,,0 days 03:00:00.000000000
359,keystone/jordan nlp conversation,,,,0 days 00:45:00.000000000
360,social,ralph,,,0 days 04:00:00.000000000
361,plan,week,,,0 days 01:00:00.000000000
362,problem solving,hrt,,,0 days 01:30:00.000000000
363,analyze,haplogroups,,,0 days 01:00:00.000000000
364,code,problem solving,,,0 days 01:00:00.000000000
365,analyze,poker,,,0 days 03:00:00.000000000
366,real estate,new lease + paint,,,0 days 02:00:00.000000000
367,code,interview,c++,,0 days 02:00:00.000000000
368,day off,,,,1 days 00:00:00.000000000
369,social,"sella, mati, gal",duboce park,,0 days 05:00:00.000000000
